"UNIT";"WORKTIME";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"THS";"PT";"T";"AT32";"A";"2015";78,1;NA;NA
"THS";"PT";"T";"AT32";"A";"2014";74,8;NA;NA
"THS";"PT";"T";"AT32";"A";"2013";74;NA;NA
"THS";"PT";"T";"AT32";"A";"2012";71,2;NA;NA
"THS";"PT";"T";"AT32";"A";"2011";69,8;NA;NA
"THS";"PT";"T";"AT32";"A";"2010";69,6;NA;NA
"THS";"PT";"T";"AT32";"A";"2009";68,2;NA;NA
"THS";"PT";"T";"AT32";"A";"2008";63,6;NA;NA
"THS";"PT";"T";"AT32";"A";"2007";61,4;"b";NA
"THS";"PT";"T";"AT32";"A";"2006";59,4;NA;NA
"THS";"PT";"T";"AT32";"A";"2005";58,8;"b";NA
"THS";"PT";"T";"AT32";"A";"2004";51,5;"b";NA
"THS";"PT";"T";"AT32";"A";"2003";53,5;NA;NA
"THS";"PT";"T";"AT32";"A";"2002";51,9;NA;NA
"THS";"PT";"T";"AT32";"A";"2001";53;NA;NA
"THS";"PT";"T";"AT32";"A";"2000";48,8;NA;NA
"THS";"PT";"T";"AT32";"A";"1999";46,6;NA;NA
"THS";"PT";"T";"AT33";"A";"2015";105,1;NA;NA
"THS";"PT";"T";"AT33";"A";"2014";106;NA;NA
"THS";"PT";"T";"AT33";"A";"2013";102,4;NA;NA
"THS";"PT";"T";"AT33";"A";"2012";98,5;NA;NA
"THS";"PT";"T";"AT33";"A";"2011";93;NA;NA
"THS";"PT";"T";"AT33";"A";"2010";95,8;NA;NA
"THS";"PT";"T";"AT33";"A";"2009";94,2;NA;NA
"THS";"PT";"T";"AT33";"A";"2008";86,5;NA;NA
"THS";"PT";"T";"AT33";"A";"2007";82,9;"b";NA
"THS";"PT";"T";"AT33";"A";"2006";78,1;NA;NA
"THS";"PT";"T";"AT33";"A";"2005";72,7;"b";NA
"THS";"PT";"T";"AT33";"A";"2004";66,8;"b";NA
"THS";"PT";"T";"AT33";"A";"2003";66,3;NA;NA
"THS";"PT";"T";"AT33";"A";"2002";68;NA;NA
"THS";"PT";"T";"AT33";"A";"2001";56,2;NA;NA
"THS";"PT";"T";"AT33";"A";"2000";58,2;NA;NA
"THS";"PT";"T";"AT33";"A";"1999";52,3;NA;NA
"THS";"PT";"T";"AT34";"A";"2015";52,5;NA;NA
"THS";"PT";"T";"AT34";"A";"2014";53,6;NA;NA
"THS";"PT";"T";"AT34";"A";"2013";50,7;NA;NA
"THS";"PT";"T";"AT34";"A";"2012";50;NA;NA
"THS";"PT";"T";"AT34";"A";"2011";47,2;NA;NA
"THS";"PT";"T";"AT34";"A";"2010";47,2;NA;NA
"THS";"PT";"T";"AT34";"A";"2009";44,7;NA;NA
"THS";"PT";"T";"AT34";"A";"2008";42;NA;NA
"THS";"PT";"T";"AT34";"A";"2007";42,9;"b";NA
"THS";"PT";"T";"AT34";"A";"2006";40,1;NA;NA
"THS";"PT";"T";"AT34";"A";"2005";39,5;"b";NA
"THS";"PT";"T";"AT34";"A";"2004";35,2;"b";NA
"THS";"PT";"T";"AT34";"A";"2003";31,5;NA;NA
"THS";"PT";"T";"AT34";"A";"2002";32,8;NA;NA
"THS";"PT";"T";"AT34";"A";"2001";31,3;NA;NA
"THS";"PT";"T";"AT34";"A";"2000";27,5;NA;NA
"THS";"PT";"T";"AT34";"A";"1999";26,9;NA;NA
"THS";"PT";"T";"CH07";"A";"2015";56,7;NA;NA
"THS";"PT";"T";"CH07";"A";"2014";52,9;NA;NA
"THS";"PT";"T";"CH07";"A";"2013";53,5;NA;NA
"THS";"PT";"T";"CH07";"A";"2012";51,1;NA;NA
"THS";"PT";"T";"CH07";"A";"2011";50,3;NA;NA
"THS";"PT";"T";"CH07";"A";"2010";50;NA;NA
"THS";"PT";"T";"CH07";"A";"2009";45,9;NA;NA
"THS";"PT";"T";"CH07";"A";"2008";43,2;NA;NA
"THS";"PT";"T";"CH07";"A";"2007";43,1;NA;NA
"THS";"PT";"T";"CH07";"A";"2006";42,1;NA;NA
"THS";"PT";"T";"CH07";"A";"2005";41,8;"b";NA
"THS";"PT";"T";"CH07";"A";"2004";42,4;NA;NA
"THS";"PT";"T";"CH07";"A";"2003";41,4;NA;NA
"THS";"PT";"T";"CH07";"A";"2002";39,7;NA;NA
"THS";"PT";"T";"CH07";"A";"2001";43,6;NA;NA
"THS";"PT";"T";"CH07";"A";"2000";NA;NA;"na"
"THS";"PT";"T";"CH07";"A";"1999";NA;NA;"na"
"THS";"PT";"T";"DE2";"A";"2015";1817,9;NA;NA
"THS";"PT";"T";"DE2";"A";"2014";1797,6;NA;NA
"THS";"PT";"T";"DE2";"A";"2013";1770,9;NA;NA
"THS";"PT";"T";"DE2";"A";"2012";1735,1;NA;NA
"THS";"PT";"T";"DE2";"A";"2011";1710,1;"b";NA
"THS";"PT";"T";"DE2";"A";"2010";1635,8;"b";NA
"THS";"PT";"T";"DE2";"A";"2009";1612;NA;NA
"THS";"PT";"T";"DE2";"A";"2008";1572,5;NA;NA
"THS";"PT";"T";"DE2";"A";"2007";1558,5;NA;NA
"THS";"PT";"T";"DE2";"A";"2006";1504;NA;NA
"THS";"PT";"T";"DE2";"A";"2005";1394,6;"b";NA
"THS";"PT";"T";"DE2";"A";"2004";1313,3;NA;NA
"THS";"PT";"T";"DE2";"A";"2003";1291,2;NA;NA
"THS";"PT";"T";"DE2";"A";"2002";1275,9;NA;NA
"THS";"PT";"T";"DE2";"A";"2001";1260,8;NA;NA
"THS";"PT";"T";"DE2";"A";"2000";1200,5;NA;NA
"THS";"PT";"T";"DE2";"A";"1999";1171,8;NA;NA
"THS";"PT";"T";"EU27";"A";"2015";45002,2;NA;NA
"THS";"PT";"T";"EU27";"A";"2014";44502;NA;NA
"THS";"PT";"T";"EU27";"A";"2013";43991,1;NA;NA
"THS";"PT";"T";"EU27";"A";"2012";43081,2;NA;NA
"THS";"PT";"T";"EU27";"A";"2011";42130,8;NA;NA
"THS";"PT";"T";"EU27";"A";"2010";41513;NA;NA
"THS";"PT";"T";"EU27";"A";"2009";40866,6;NA;NA
"THS";"PT";"T";"EU27";"A";"2008";40415,1;NA;NA
"THS";"PT";"T";"EU27";"A";"2007";39765,4;NA;NA
"THS";"PT";"T";"EU27";"A";"2006";38861,8;NA;NA
"THS";"PT";"T";"EU27";"A";"2005";37236,5;"b";NA
"THS";"PT";"T";"EU27";"A";"2004";35694,9;NA;NA
"THS";"PT";"T";"EU27";"A";"2003";34177;NA;NA
"THS";"PT";"T";"EU27";"A";"2002";33082;NA;NA
"THS";"PT";"T";"EU27";"A";"2001";33228,9;NA;NA
"THS";"PT";"T";"EU27";"A";"2000";32444,3;NA;NA
"THS";"PT";"T";"EU27";"A";"1999";NA;NA;"na"
"THS";"PT";"T";"EU28";"A";"2015";45111,7;NA;NA
"THS";"PT";"T";"EU28";"A";"2014";44599;NA;NA
"THS";"PT";"T";"EU28";"A";"2013";44090,2;NA;NA
"THS";"PT";"T";"EU28";"A";"2012";43192,5;NA;NA
"THS";"PT";"T";"EU28";"A";"2011";42274,3;NA;NA
"THS";"PT";"T";"EU28";"A";"2010";41658,8;NA;NA
"THS";"PT";"T";"EU28";"A";"2009";41010,3;NA;NA
"THS";"PT";"T";"EU28";"A";"2008";40557,4;NA;NA
"THS";"PT";"T";"EU28";"A";"2007";39898,1;NA;NA
"THS";"PT";"T";"EU28";"A";"2006";39011,3;NA;NA
"THS";"PT";"T";"EU28";"A";"2005";37394,7;"b";NA
"THS";"PT";"T";"EU28";"A";"2004";35832,4;NA;NA
"THS";"PT";"T";"EU28";"A";"2003";34305,8;NA;NA
"THS";"PT";"T";"EU28";"A";"2002";33203,9;NA;NA
"THS";"PT";"T";"EU28";"A";"2001";NA;NA;"na"
"THS";"PT";"T";"EU28";"A";"2000";NA;NA;"na"
"THS";"PT";"T";"EU28";"A";"1999";NA;NA;"na"
"THS";"PT";"T";"IT";"A";"2015";4166,4;NA;NA
"THS";"PT";"T";"IT";"A";"2014";4091;NA;NA
"THS";"PT";"T";"IT";"A";"2013";3967,3;NA;NA
"THS";"PT";"T";"IT";"A";"2012";3840,8;NA;NA
"THS";"PT";"T";"IT";"A";"2011";3485,9;NA;NA
"THS";"PT";"T";"IT";"A";"2010";3379,9;NA;NA
"THS";"PT";"T";"IT";"A";"2009";3239;NA;NA
"THS";"PT";"T";"IT";"A";"2008";3306,8;NA;NA
"THS";"PT";"T";"IT";"A";"2007";3120,2;NA;NA
"THS";"PT";"T";"IT";"A";"2006";3027,6;NA;NA
"THS";"PT";"T";"IT";"A";"2005";2880,1;"b";NA
"THS";"PT";"T";"IT";"A";"2004";2849,3;"b";NA
"THS";"PT";"T";"IT";"A";"2003";1895,5;NA;NA
"THS";"PT";"T";"IT";"A";"2002";1869,8;NA;NA
"THS";"PT";"T";"IT";"A";"2001";1938,4;NA;NA
"THS";"PT";"T";"IT";"A";"2000";1851;NA;NA
"THS";"PT";"T";"IT";"A";"1999";1631,5;NA;NA
"THS";"PT";"T";"ITC4";"A";"2015";778,9;NA;NA
"THS";"PT";"T";"ITC4";"A";"2014";779,4;NA;NA
"THS";"PT";"T";"ITC4";"A";"2013";768,6;NA;NA
"THS";"PT";"T";"ITC4";"A";"2012";714,4;NA;NA
"THS";"PT";"T";"ITC4";"A";"2011";647,4;NA;NA
"THS";"PT";"T";"ITC4";"A";"2010";665,4;NA;NA
"THS";"PT";"T";"ITC4";"A";"2009";643,6;NA;NA
"THS";"PT";"T";"ITC4";"A";"2008";633,9;NA;NA
"THS";"PT";"T";"ITC4";"A";"2007";606,5;NA;NA
"THS";"PT";"T";"ITC4";"A";"2006";573,2;NA;NA
"THS";"PT";"T";"ITC4";"A";"2005";547,9;"b";NA
"THS";"PT";"T";"ITC4";"A";"2004";524,9;"b";NA
"THS";"PT";"T";"ITC4";"A";"2003";361,7;NA;NA
"THS";"PT";"T";"ITC4";"A";"2002";362,7;NA;NA
"THS";"PT";"T";"ITC4";"A";"2001";364,9;NA;NA
"THS";"PT";"T";"ITC4";"A";"2000";354,9;NA;NA
"THS";"PT";"T";"ITC4";"A";"1999";327,2;NA;NA
"THS";"PT";"T";"ITH";"A";"2015";908,3;NA;NA
"THS";"PT";"T";"ITH";"A";"2014";916,6;NA;NA
"THS";"PT";"T";"ITH";"A";"2013";882;NA;NA
"THS";"PT";"T";"ITH";"A";"2012";859,9;NA;NA
"THS";"PT";"T";"ITH";"A";"2011";788,7;NA;NA
"THS";"PT";"T";"ITH";"A";"2010";752,7;NA;NA
"THS";"PT";"T";"ITH";"A";"2009";734,5;NA;NA
"THS";"PT";"T";"ITH";"A";"2008";769,5;NA;NA
"THS";"PT";"T";"ITH";"A";"2007";727,9;NA;NA
"THS";"PT";"T";"ITH";"A";"2006";709,9;NA;NA
"THS";"PT";"T";"ITH";"A";"2005";667,5;"b";NA
"THS";"PT";"T";"ITH";"A";"2004";397,5;"b";NA
"THS";"PT";"T";"ITH";"A";"2003";337,4;NA;NA
"THS";"PT";"T";"ITH";"A";"2002";320,6;NA;NA
"THS";"PT";"T";"ITH";"A";"2001";314,7;NA;NA
"THS";"PT";"T";"ITH";"A";"2000";295,3;NA;NA
"THS";"PT";"T";"ITH";"A";"1999";252;NA;NA
"THS";"PT";"T";"ITH1";"A";"2015";58,2;NA;NA
"THS";"PT";"T";"ITH1";"A";"2014";56,2;NA;NA
"THS";"PT";"T";"ITH1";"A";"2013";53,9;NA;NA
"THS";"PT";"T";"ITH1";"A";"2012";54,5;NA;NA
"THS";"PT";"T";"ITH1";"A";"2011";48,9;NA;NA
"THS";"PT";"T";"ITH1";"A";"2010";48,9;NA;NA
"THS";"PT";"T";"ITH1";"A";"2009";44,4;NA;NA
"THS";"PT";"T";"ITH1";"A";"2008";43,6;NA;NA
"THS";"PT";"T";"ITH1";"A";"2007";42,6;NA;NA
"THS";"PT";"T";"ITH1";"A";"2006";39,4;NA;NA
"THS";"PT";"T";"ITH1";"A";"2005";38,9;"b";NA
"THS";"PT";"T";"ITH1";"A";"2004";37,7;"b";NA
"THS";"PT";"T";"ITH1";"A";"2003";35,1;NA;NA
"THS";"PT";"T";"ITH1";"A";"2002";31,9;NA;NA
"THS";"PT";"T";"ITH1";"A";"2001";30,7;NA;NA
"THS";"PT";"T";"ITH1";"A";"2000";30,2;NA;NA
"THS";"PT";"T";"ITH1";"A";"1999";26,2;NA;NA
"THS";"PT";"T";"ITH2";"A";"2015";51,1;NA;NA
"THS";"PT";"T";"ITH2";"A";"2014";50;NA;NA
"THS";"PT";"T";"ITH2";"A";"2013";46,4;NA;NA
"THS";"PT";"T";"ITH2";"A";"2012";44,1;NA;NA
"THS";"PT";"T";"ITH2";"A";"2011";41,8;NA;NA
"THS";"PT";"T";"ITH2";"A";"2010";40,3;NA;NA
"THS";"PT";"T";"ITH2";"A";"2009";40,5;NA;NA
"THS";"PT";"T";"ITH2";"A";"2008";42,1;NA;NA
"THS";"PT";"T";"ITH2";"A";"2007";38,2;NA;NA
"THS";"PT";"T";"ITH2";"A";"2006";36,5;NA;NA
"THS";"PT";"T";"ITH2";"A";"2005";33,8;"b";NA
"THS";"PT";"T";"ITH2";"A";"2004";34,8;"b";NA
"THS";"PT";"T";"ITH2";"A";"2003";18,5;NA;NA
"THS";"PT";"T";"ITH2";"A";"2002";18,6;NA;NA
"THS";"PT";"T";"ITH2";"A";"2001";20,8;NA;NA
"THS";"PT";"T";"ITH2";"A";"2000";23,1;NA;NA
"THS";"PT";"T";"ITH2";"A";"1999";16,3;NA;NA
"THS";"PT";"T";"ITH3";"A";"2015";364,8;NA;NA
"THS";"PT";"T";"ITH3";"A";"2014";376,8;NA;NA
"THS";"PT";"T";"ITH3";"A";"2013";359,6;NA;NA
"THS";"PT";"T";"ITH3";"A";"2012";355,6;NA;NA
"THS";"PT";"T";"ITH3";"A";"2011";329,2;NA;NA
"THS";"PT";"T";"ITH3";"A";"2010";316,1;NA;NA
"THS";"PT";"T";"ITH3";"A";"2009";313,1;NA;NA
"THS";"PT";"T";"ITH3";"A";"2008";348,1;NA;NA
"THS";"PT";"T";"ITH3";"A";"2007";314,5;NA;NA
"THS";"PT";"T";"ITH3";"A";"2006";306,4;NA;NA
"THS";"PT";"T";"ITH3";"A";"2005";285,4;"b";NA
"THS";"PT";"T";"ITH3";"A";"2004";255,4;"b";NA
"THS";"PT";"T";"ITH3";"A";"2003";227,1;NA;NA
"THS";"PT";"T";"ITH3";"A";"2002";213,9;NA;NA
"THS";"PT";"T";"ITH3";"A";"2001";212,1;NA;NA
"THS";"PT";"T";"ITH3";"A";"2000";194,2;NA;NA
"THS";"PT";"T";"ITH3";"A";"1999";157,8;NA;NA
