"UNIT";"VEHICLE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"P_THAB";"CAR";"AT32";"A";"2014";546;NA;NA
"P_THAB";"CAR";"AT32";"A";"2013";543;NA;NA
"P_THAB";"CAR";"AT32";"A";"2012";536;NA;NA
"P_THAB";"CAR";"AT32";"A";"2011";529;NA;NA
"P_THAB";"CAR";"AT32";"A";"2010";521;NA;NA
"P_THAB";"CAR";"AT32";"A";"2009";511;NA;NA
"P_THAB";"CAR";"AT32";"A";"2008";502;NA;NA
"P_THAB";"CAR";"AT32";"A";"2007";496;NA;NA
"P_THAB";"CAR";"AT32";"A";"2006";490;NA;NA
"P_THAB";"CAR";"AT32";"A";"2005";486;NA;NA
"P_THAB";"CAR";"AT32";"A";"2004";482;NA;NA
"P_THAB";"CAR";"AT32";"A";"2003";479;NA;NA
"P_THAB";"CAR";"AT32";"A";"2002";472;NA;NA
"P_THAB";"CAR";"AT32";"A";"2001";489;NA;NA
"P_THAB";"CAR";"AT32";"A";"2000";481;NA;NA
"P_THAB";"CAR";"AT32";"A";"1999";472;NA;NA
"P_THAB";"CAR";"AT32";"A";"1998";459;NA;NA
"P_THAB";"CAR";"AT32";"A";"1997";449;NA;NA
"P_THAB";"CAR";"AT32";"A";"1996";439;NA;NA
"P_THAB";"CAR";"AT32";"A";"1995";429;NA;NA
"P_THAB";"CAR";"AT32";"A";"1994";420;NA;NA
"P_THAB";"CAR";"AT32";"A";"1993";409;NA;NA
"P_THAB";"CAR";"AT32";"A";"1992";400;NA;NA
"P_THAB";"CAR";"AT32";"A";"1991";393;NA;NA
"P_THAB";"CAR";"AT32";"A";"1990";385;NA;NA
"P_THAB";"CAR";"AT33";"A";"2014";520;NA;NA
"P_THAB";"CAR";"AT33";"A";"2013";516;NA;NA
"P_THAB";"CAR";"AT33";"A";"2012";511;NA;NA
"P_THAB";"CAR";"AT33";"A";"2011";503;NA;NA
"P_THAB";"CAR";"AT33";"A";"2010";496;NA;NA
"P_THAB";"CAR";"AT33";"A";"2009";487;NA;NA
"P_THAB";"CAR";"AT33";"A";"2008";477;NA;NA
"P_THAB";"CAR";"AT33";"A";"2007";474;NA;NA
"P_THAB";"CAR";"AT33";"A";"2006";469;NA;NA
"P_THAB";"CAR";"AT33";"A";"2005";465;NA;NA
"P_THAB";"CAR";"AT33";"A";"2004";462;NA;NA
"P_THAB";"CAR";"AT33";"A";"2003";457;NA;NA
"P_THAB";"CAR";"AT33";"A";"2002";451;NA;NA
"P_THAB";"CAR";"AT33";"A";"2001";501;NA;NA
"P_THAB";"CAR";"AT33";"A";"2000";491;NA;NA
"P_THAB";"CAR";"AT33";"A";"1999";480;NA;NA
"P_THAB";"CAR";"AT33";"A";"1998";464;NA;NA
"P_THAB";"CAR";"AT33";"A";"1997";450;NA;NA
"P_THAB";"CAR";"AT33";"A";"1996";438;NA;NA
"P_THAB";"CAR";"AT33";"A";"1995";422;NA;NA
"P_THAB";"CAR";"AT33";"A";"1994";409;NA;NA
"P_THAB";"CAR";"AT33";"A";"1993";393;NA;NA
"P_THAB";"CAR";"AT33";"A";"1992";378;NA;NA
"P_THAB";"CAR";"AT33";"A";"1991";364;NA;NA
"P_THAB";"CAR";"AT33";"A";"1990";353;NA;NA
"P_THAB";"CAR";"AT34";"A";"2014";526;NA;NA
"P_THAB";"CAR";"AT34";"A";"2013";522;NA;NA
"P_THAB";"CAR";"AT34";"A";"2012";518;NA;NA
"P_THAB";"CAR";"AT34";"A";"2011";512;NA;NA
"P_THAB";"CAR";"AT34";"A";"2010";504;NA;NA
"P_THAB";"CAR";"AT34";"A";"2009";494;NA;NA
"P_THAB";"CAR";"AT34";"A";"2008";487;NA;NA
"P_THAB";"CAR";"AT34";"A";"2007";484;NA;NA
"P_THAB";"CAR";"AT34";"A";"2006";481;NA;NA
"P_THAB";"CAR";"AT34";"A";"2005";477;NA;NA
"P_THAB";"CAR";"AT34";"A";"2004";475;NA;NA
"P_THAB";"CAR";"AT34";"A";"2003";473;NA;NA
"P_THAB";"CAR";"AT34";"A";"2002";468;NA;NA
"P_THAB";"CAR";"AT34";"A";"2001";485;NA;NA
"P_THAB";"CAR";"AT34";"A";"2000";479;NA;NA
"P_THAB";"CAR";"AT34";"A";"1999";471;NA;NA
"P_THAB";"CAR";"AT34";"A";"1998";457;NA;NA
"P_THAB";"CAR";"AT34";"A";"1997";446;NA;NA
"P_THAB";"CAR";"AT34";"A";"1996";436;NA;NA
"P_THAB";"CAR";"AT34";"A";"1995";429;NA;NA
"P_THAB";"CAR";"AT34";"A";"1994";419;NA;NA
"P_THAB";"CAR";"AT34";"A";"1993";411;NA;NA
"P_THAB";"CAR";"AT34";"A";"1992";401;NA;NA
"P_THAB";"CAR";"AT34";"A";"1991";391;NA;NA
"P_THAB";"CAR";"AT34";"A";"1990";382;NA;NA
"P_THAB";"CAR";"CH07";"A";"2014";625;NA;NA
"P_THAB";"CAR";"CH07";"A";"2013";621;NA;NA
"P_THAB";"CAR";"CH07";"A";"2012";620;NA;NA
"P_THAB";"CAR";"CH07";"A";"2011";618;NA;NA
"P_THAB";"CAR";"CH07";"A";"2010";613;NA;NA
"P_THAB";"CAR";"CH07";"A";"2009";602;NA;NA
"P_THAB";"CAR";"CH07";"A";"2008";601;NA;NA
"P_THAB";"CAR";"CH07";"A";"2007";605;NA;NA
"P_THAB";"CAR";"CH07";"A";"2006";602;NA;NA
"P_THAB";"CAR";"CH07";"A";"2005";600;NA;NA
"P_THAB";"CAR";"CH07";"A";"2004";597;NA;NA
"P_THAB";"CAR";"CH07";"A";"2003";594;NA;NA
"P_THAB";"CAR";"CH07";"A";"2002";597;NA;NA
"P_THAB";"CAR";"CH07";"A";"2001";595;NA;NA
"P_THAB";"CAR";"CH07";"A";"2000";589;NA;NA
"P_THAB";"CAR";"CH07";"A";"1999";582;NA;NA
"P_THAB";"CAR";"CH07";"A";"1998";574;NA;NA
"P_THAB";"CAR";"CH07";"A";"1997";565;NA;NA
"P_THAB";"CAR";"CH07";"A";"1996";558;NA;NA
"P_THAB";"CAR";"CH07";"A";"1995";549;NA;NA
"P_THAB";"CAR";"CH07";"A";"1994";542;NA;NA
"P_THAB";"CAR";"CH07";"A";"1993";537;NA;NA
"P_THAB";"CAR";"CH07";"A";"1992";535;NA;NA
"P_THAB";"CAR";"CH07";"A";"1991";527;NA;NA
"P_THAB";"CAR";"CH07";"A";"1990";520;NA;NA
"P_THAB";"CAR";"DE2";"A";"2014";576;NA;NA
"P_THAB";"CAR";"DE2";"A";"2013";572;NA;NA
"P_THAB";"CAR";"DE2";"A";"2012";561;NA;NA
"P_THAB";"CAR";"DE2";"A";"2011";552;NA;NA
"P_THAB";"CAR";"DE2";"A";"2010";547;NA;NA
"P_THAB";"CAR";"DE2";"A";"2009";541;NA;NA
"P_THAB";"CAR";"DE2";"A";"2008";537;"b";NA
"P_THAB";"CAR";"DE2";"A";"2007";610;NA;NA
"P_THAB";"CAR";"DE2";"A";"2006";601;NA;NA
"P_THAB";"CAR";"DE2";"A";"2005";586;NA;NA
"P_THAB";"CAR";"DE2";"A";"2004";578;NA;NA
"P_THAB";"CAR";"DE2";"A";"2003";572;NA;NA
"P_THAB";"CAR";"DE2";"A";"2002";569;NA;NA
"P_THAB";"CAR";"DE2";"A";"2001";562;NA;NA
"P_THAB";"CAR";"DE2";"A";"2000";554;NA;NA
"P_THAB";"CAR";"DE2";"A";"1999";551;NA;NA
"P_THAB";"CAR";"DE2";"A";"1998";541;NA;NA
"P_THAB";"CAR";"DE2";"A";"1997";537;NA;NA
"P_THAB";"CAR";"DE2";"A";"1996";530;NA;NA
"P_THAB";"CAR";"DE2";"A";"1995";524;NA;NA
"P_THAB";"CAR";"DE2";"A";"1994";519;NA;NA
"P_THAB";"CAR";"DE2";"A";"1993";515;NA;NA
"P_THAB";"CAR";"DE2";"A";"1992";508;NA;NA
"P_THAB";"CAR";"DE2";"A";"1991";502;NA;NA
"P_THAB";"CAR";"DE2";"A";"1990";495;NA;NA
"P_THAB";"CAR";"IT";"A";"2014";610;NA;NA
"P_THAB";"CAR";"IT";"A";"2013";608;NA;NA
"P_THAB";"CAR";"IT";"A";"2012";621;NA;NA
"P_THAB";"CAR";"IT";"A";"2011";625;NA;NA
"P_THAB";"CAR";"IT";"A";"2010";619;NA;NA
"P_THAB";"CAR";"IT";"A";"2009";614;NA;NA
"P_THAB";"CAR";"IT";"A";"2008";611;NA;NA
"P_THAB";"CAR";"IT";"A";"2007";608;NA;NA
"P_THAB";"CAR";"IT";"A";"2006";606;NA;NA
"P_THAB";"CAR";"IT";"A";"2005";597;NA;NA
"P_THAB";"CAR";"IT";"A";"2004";587;NA;NA
"P_THAB";"CAR";"IT";"A";"2003";597;NA;NA
"P_THAB";"CAR";"IT";"A";"2002";590;NA;NA
"P_THAB";"CAR";"IT";"A";"2001";583;NA;NA
"P_THAB";"CAR";"IT";"A";"2000";572;NA;NA
"P_THAB";"CAR";"IT";"A";"1999";563;NA;NA
"P_THAB";"CAR";"IT";"A";"1998";546;NA;NA
"P_THAB";"CAR";"IT";"A";"1997";530;NA;NA
"P_THAB";"CAR";"IT";"A";"1996";526;NA;NA
"P_THAB";"CAR";"IT";"A";"1995";533;NA;NA
"P_THAB";"CAR";"IT";"A";"1994";522;NA;NA
"P_THAB";"CAR";"IT";"A";"1993";522;NA;NA
"P_THAB";"CAR";"IT";"A";"1992";518;NA;NA
"P_THAB";"CAR";"IT";"A";"1991";501;NA;NA
"P_THAB";"CAR";"IT";"A";"1990";483;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2014";588;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2013";588;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2012";600;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2011";606;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2010";601;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2009";598;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2008";598;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2007";597;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2006";598;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2005";594;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2004";590;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2003";601;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2002";599;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2001";595;NA;NA
"P_THAB";"CAR";"ITC4";"A";"2000";587;NA;NA
"P_THAB";"CAR";"ITC4";"A";"1999";584;NA;NA
"P_THAB";"CAR";"ITC4";"A";"1998";571;NA;NA
"P_THAB";"CAR";"ITC4";"A";"1997";559;NA;NA
"P_THAB";"CAR";"ITC4";"A";"1996";556;NA;NA
"P_THAB";"CAR";"ITC4";"A";"1995";576;NA;NA
"P_THAB";"CAR";"ITC4";"A";"1994";566;NA;NA
"P_THAB";"CAR";"ITC4";"A";"1993";586;NA;NA
"P_THAB";"CAR";"ITC4";"A";"1992";584;NA;NA
"P_THAB";"CAR";"ITC4";"A";"1991";565;NA;NA
"P_THAB";"CAR";"ITC4";"A";"1990";547;NA;NA
"P_THAB";"CAR";"ITH";"A";"2014";628;NA;NA
"P_THAB";"CAR";"ITH";"A";"2013";620;NA;NA
"P_THAB";"CAR";"ITH";"A";"2012";623;NA;NA
"P_THAB";"CAR";"ITH";"A";"2011";616;NA;NA
"P_THAB";"CAR";"ITH";"A";"2010";610;NA;NA
"P_THAB";"CAR";"ITH";"A";"2009";606;NA;NA
"P_THAB";"CAR";"ITH";"A";"2008";604;NA;NA
"P_THAB";"CAR";"ITH";"A";"2007";603;NA;NA
"P_THAB";"CAR";"ITH";"A";"2006";605;NA;NA
"P_THAB";"CAR";"ITH";"A";"2005";600;NA;NA
"P_THAB";"CAR";"ITH";"A";"2004";596;NA;NA
"P_THAB";"CAR";"ITH";"A";"2003";598;NA;NA
"P_THAB";"CAR";"ITH";"A";"2002";597;NA;NA
"P_THAB";"CAR";"ITH";"A";"2001";595;NA;NA
"P_THAB";"CAR";"ITH";"A";"2000";590;NA;NA
"P_THAB";"CAR";"ITH";"A";"1999";NA;NA;"na"
"P_THAB";"CAR";"ITH";"A";"1998";NA;NA;"na"
"P_THAB";"CAR";"ITH";"A";"1997";NA;NA;"na"
"P_THAB";"CAR";"ITH";"A";"1996";NA;NA;"na"
"P_THAB";"CAR";"ITH";"A";"1995";NA;NA;"na"
"P_THAB";"CAR";"ITH";"A";"1994";NA;NA;"na"
"P_THAB";"CAR";"ITH";"A";"1993";NA;NA;"na"
"P_THAB";"CAR";"ITH";"A";"1992";NA;NA;"na"
"P_THAB";"CAR";"ITH";"A";"1991";NA;NA;"na"
"P_THAB";"CAR";"ITH";"A";"1990";NA;NA;"na"
"P_THAB";"CAR";"ITH1";"A";"2014";748;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2013";680;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2012";628;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2011";533;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2010";528;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2009";524;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2008";518;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2007";516;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2006";519;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2005";518;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2004";516;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2003";522;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2002";517;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2001";516;NA;NA
"P_THAB";"CAR";"ITH1";"A";"2000";512;NA;NA
"P_THAB";"CAR";"ITH1";"A";"1999";509;NA;NA
"P_THAB";"CAR";"ITH1";"A";"1998";501;NA;NA
"P_THAB";"CAR";"ITH1";"A";"1997";492;NA;NA
"P_THAB";"CAR";"ITH1";"A";"1996";490;NA;NA
"P_THAB";"CAR";"ITH1";"A";"1995";506;NA;NA
"P_THAB";"CAR";"ITH1";"A";"1994";494;NA;NA
"P_THAB";"CAR";"ITH1";"A";"1993";500;NA;NA
"P_THAB";"CAR";"ITH1";"A";"1992";498;NA;NA
"P_THAB";"CAR";"ITH1";"A";"1991";481;NA;NA
"P_THAB";"CAR";"ITH1";"A";"1990";468;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2014";793;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2013";739;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2012";711;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2011";594;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2010";578;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2009";574;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2008";571;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2007";570;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2006";569;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2005";566;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2004";565;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2003";566;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2002";562;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2001";559;NA;NA
"P_THAB";"CAR";"ITH2";"A";"2000";555;NA;NA
"P_THAB";"CAR";"ITH2";"A";"1999";552;NA;NA
"P_THAB";"CAR";"ITH2";"A";"1998";542;NA;NA
"P_THAB";"CAR";"ITH2";"A";"1997";530;NA;NA
"P_THAB";"CAR";"ITH2";"A";"1996";528;NA;NA
"P_THAB";"CAR";"ITH2";"A";"1995";538;NA;NA
"P_THAB";"CAR";"ITH2";"A";"1994";530;NA;NA
"P_THAB";"CAR";"ITH2";"A";"1993";533;NA;NA
"P_THAB";"CAR";"ITH2";"A";"1992";533;NA;NA
"P_THAB";"CAR";"ITH2";"A";"1991";512;NA;NA
"P_THAB";"CAR";"ITH2";"A";"1990";498;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2014";606;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2013";602;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2012";608;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2011";612;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2010";606;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2009";602;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2008";599;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2007";598;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2006";598;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2005";592;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2004";588;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2003";588;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2002";587;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2001";585;NA;NA
"P_THAB";"CAR";"ITH3";"A";"2000";578;NA;NA
"P_THAB";"CAR";"ITH3";"A";"1999";574;NA;NA
"P_THAB";"CAR";"ITH3";"A";"1998";561;NA;NA
"P_THAB";"CAR";"ITH3";"A";"1997";548;NA;NA
"P_THAB";"CAR";"ITH3";"A";"1996";545;NA;NA
"P_THAB";"CAR";"ITH3";"A";"1995";559;NA;NA
"P_THAB";"CAR";"ITH3";"A";"1994";547;NA;NA
"P_THAB";"CAR";"ITH3";"A";"1993";543;NA;NA
"P_THAB";"CAR";"ITH3";"A";"1992";543;NA;NA
"P_THAB";"CAR";"ITH3";"A";"1991";524;NA;NA
"P_THAB";"CAR";"ITH3";"A";"1990";507;NA;NA
